outcome,representation,eeg_id,channel,band,n,r_pearson,p_raw_parametric,permutation_exceedances,p_permutation,p_maxT_block64,p_maxT_outcome192,p_maxT_global576,q_BH_raw_block64,q_BH_raw_outcome192,q_BH_raw_global576,q_BH_permutation_block64,q_BH_permutation_outcome192,q_BH_permutation_global576,q_BY_permutation_global576
BAI,OC,EEG60,P7,beta,25,0.0093726436458869,0.9645338978990344,9633,0.9633036696330368,1.0,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG61,P8,delta,25,-0.0671606231074308,0.7497480625680472,7516,0.7516248375162484,0.960903909609039,0.999900009999,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG62,P8,theta,25,-0.038378669049092,0.8554761501532665,8551,0.8551144885511449,0.997900209979002,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG63,P8,alpha,25,0.0052897464669726,0.9799793950068648,9815,0.9815018498150184,1.0,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
BAI,OC,EEG64,P8,beta,25,0.0061764729886344,0.9766241488717124,9775,0.9775022497750224,1.0,1.0,1.0,0.9992579305985924,0.9993931686551354,0.9993931686551354,0.9996000399960004,0.9997000299970004,0.9997000299970004,1.0
MSPSS,OC,EEG1,Fp1,delta,25,0.1095245928782223,0.6022559886979149,6001,0.6001399860013998,0.8182181781821818,0.9753024697530248,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG2,Fp1,theta,25,0.0700494769085257,0.7393418163723968,7428,0.7428257174282572,0.9537046295370464,0.9991000899910008,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG3,Fp1,alpha,25,0.1727987362890076,0.4088035355042777,4056,0.4056594340565943,0.5882411758824118,0.8540145985401459,0.9875012498750124,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG4,Fp1,beta,25,0.0958660619426582,0.6485030449124936,6502,0.6502349765023497,0.8689131086891311,0.9885011498850116,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG5,Fp2,delta,25,0.1056168904677997,0.6153456127921944,6147,0.6147385261473852,0.832016798320168,0.9793020697930208,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG6,Fp2,theta,25,0.0601492533896399,0.7751786051760913,7813,0.7813218678132187,0.9738026197380262,0.999900009999,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG7,Fp2,alpha,25,0.1736208148405883,0.4065436124968938,4044,0.4044595540445955,0.5856414358564144,0.8525147485251475,0.9872012798720128,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG8,Fp2,beta,25,0.0909631411902691,0.6654294510573274,6646,0.6646335366463354,0.8867113288671132,0.9924007599240076,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG9,F3,delta,25,0.1026674092553339,0.6253019783350655,6237,0.6237376262373763,0.8423157684231577,0.982101789821018,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG10,F3,theta,25,0.0613590615185956,0.770773684395605,7727,0.7727227277272273,0.9711028897110288,0.9998000199980002,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG11,F3,alpha,25,0.1671142830779029,0.4246199855177784,4258,0.4258574142585741,0.6060393960603939,0.8695130486951305,0.9893010698930108,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG12,F3,beta,25,0.0891990352558764,0.6715593630603592,6717,0.6717328267173283,0.8936106389361064,0.9933006699330068,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG13,F4,delta,25,0.0971066372488771,0.6442465122547095,6433,0.6433356664333567,0.8643135686431357,0.9872012798720128,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG14,F4,theta,25,0.0678550656630351,0.747242577711488,7504,0.7504249575042495,0.9582041795820418,0.9994000599940006,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG15,F4,alpha,25,0.1556282212580045,0.4575740720068442,4557,0.4557544245575442,0.6484351564843516,0.8962103789621038,0.9928007199280072,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG16,F4,beta,25,0.0848778708178498,0.6866602403445901,6865,0.6865313468653135,0.9081091890810918,0.9952004799520048,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG17,C3,delta,25,0.106540554295095,0.6122410937166476,6111,0.6111388861113889,0.8291170882911709,0.9788021197880212,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG18,C3,theta,25,0.0629311892397375,0.7650598641035017,7669,0.7669233076692331,0.9684031596840316,0.9998000199980002,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG19,C3,alpha,25,0.1501365047736463,0.4737898627693225,4709,0.470952904709529,0.6667333266673333,0.9074092590740926,0.9942005799420058,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG20,C3,beta,25,0.0831186693327716,0.6928419798614678,6919,0.6919308069193081,0.9143085691430856,0.9954004599540046,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG21,C4,delta,25,0.1099525096540224,0.6008297387000072,5991,0.5991400859914009,0.8168183181681832,0.9753024697530248,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG22,C4,theta,25,0.070122172277546,0.7390805177350239,7419,0.7419258074192581,0.9535046495350464,0.9991000899910008,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG23,C4,alpha,25,0.1732515519595358,0.4075578673431017,4057,0.4057594240575942,0.5866413358664133,0.853014698530147,0.9873012698730128,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG24,C4,beta,25,0.0837845911824794,0.6904996955258371,6902,0.6902309769023097,0.9126087391260874,0.9953004699530048,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG25,P3,delta,25,0.1059354152143334,0.6142742922693054,6151,0.6151384861513849,0.831016898310169,0.979002099790021,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG26,P3,theta,25,0.0666678505752416,0.7515274378343942,7555,0.7555244475552445,0.961003899610039,0.9996000399960004,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG27,P3,alpha,25,0.1644502517964377,0.4321455652367886,4290,0.4290570942905709,0.6156384361563844,0.8763123687631237,0.9902009799020098,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG28,P3,beta,25,0.0856535857207334,0.6839405921934173,6838,0.6838316168383162,0.9055094490550945,0.9946005399460054,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG29,P4,delta,25,0.1044149464685254,0.6193950907782122,6197,0.6197380261973803,0.837016298370163,0.9802019798020198,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG30,P4,theta,25,0.0649570453021824,0.7577145857863582,7616,0.7616238376162384,0.9645035496450356,0.9997000299970004,1.0,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
MSPSS,OC,EEG31,P4,alpha,25,0.1623237827368652,0.4382039329313738,4362,0.4362563743625637,0.6233376662333766,0.8812118788121188,0.9907009299070092,0.7881924419155985,0.992516486086388,0.9993931686551354,0.7937238022229522,0.9818925084235762,0.9997000299970004,1.0
