model_kind,target_id,representation,local_outcome,lemon_outcome,external_moderator,external_moderator_label,external_moderator_type,external_W_positive_definition,local_analogue,W_equivalence,external_W_n_available,external_W_missing,external_W_n0,external_W_n1,n,df_resid,beta_interaction_std,se_interaction,t_interaction,p_raw,se_hc3,t_hc3,p_hc3,r2_full,r2_reduced,delta_r2,cohen_f2_interaction,slope_W_low_std,slope_W_high_std,condition_number,eeg_id,channel,band,local_moderators,local_p_min,permutation_exceedances,p_permutation,p_maxT_global,q_BH_raw_global,q_BH_HC3_global,q_BH_permutation_global,q_BY_permutation_global,q_BH_permutation_within_W,q_BH_permutation_within_target_id,p_maxT_within_W,naive_p_lt_0_05,hc3_p_lt_0_05,permutation_p_lt_0_05,robust_nominal,triangulated_nominal
feature,TARGET__OC__MSPSS__EEG21,OC,MSPSS,MSPSS_total,ALCOHOL_UNITS_LOG1P,Unidades estándar de alcohol en 28 días,continuous,mayor consumo,none,new_W_clinical,134,1,,,134,130,0.0028845763095535,0.0741328161700548,0.0389109231050462,0.9690210995363896,0.078356002167406,0.0368137249191286,0.9706900006169412,0.0394232038047263,0.0394120163366998,1.1187468026419012e-05,1.1646614899226377e-05,0.1195466206335981,0.1253157732527052,1.2482193269524695,EEG21,C4,delta,W4,0.0394069913028541,9701,0.97010298970103,1.0,0.994066804971526,0.9965523916828825,0.9947614316167211,1.0,0.9899010098990102,0.9931006899310068,1.0,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG50,OC,MSPSS,MSPSS_total,ALCOHOL_UNITS_LOG1P,Unidades estándar de alcohol en 28 días,continuous,mayor consumo,none,new_W_clinical,134,1,,,134,130,0.0716183212283276,0.0753512320019497,0.9504598574642344,0.3436423293644952,0.0860875266690809,0.831924484294076,0.4069771367412029,0.0718892778561512,0.0654398083144321,0.006449469541719,0.0069490303126995,0.1494989097844766,0.2927355522411319,1.3350493768039788,EEG50,T7,theta,W4,0.039647610447041,3383,0.3383661633836616,1.0,0.9240553659651414,0.9594215456082604,0.9118465316098148,1.0,0.8090100080901,0.692930706929307,0.9977002299770024,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG42,OC,MSPSS,MSPSS_total,ALCOHOL_UNITS_LOG1P,Unidades estándar de alcohol en 28 días,continuous,mayor consumo,none,new_W_clinical,134,1,,,134,130,0.0569952081979292,0.0763888252392853,0.7461197108267306,0.4569421924222076,0.0854546209014152,0.6669646134605381,0.5059768234474142,0.0698992484859435,0.0659163093543403,0.0039829391316031,0.0042822663298783,0.1605297734639679,0.2745201898598264,1.2971633861258969,EEG42,F7,theta,W4,0.0403006852011876,4541,0.4541545845415458,1.0,0.936442424062965,0.973689025705312,0.9245162440277712,1.0,0.8090100080901,0.9246075392460754,0.999900009999,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG26,OC,MSPSS,MSPSS_total,ALCOHOL_UNITS_LOG1P,Unidades estándar de alcohol en 28 días,continuous,mayor consumo,none,new_W_clinical,134,1,,,134,130,0.054326434274979,0.0764458736398127,0.710652278381263,0.4785727420900675,0.079011269841598,0.6875782959050367,0.4929432914225973,0.0449824778104706,0.0412724061934953,0.0037100716169752,0.0038848204674499,0.0913774176924046,0.2000302862423627,1.3874316714812838,EEG26,P3,theta,W4,0.0403167916358557,4736,0.4736526347365263,1.0,0.936442424062965,0.973689025705312,0.9275621110455328,1.0,0.8090100080901,0.7367929873679299,0.999900009999,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG34,OC,MSPSS,MSPSS_total,ALCOHOL_UNITS_LOG1P,Unidades estándar de alcohol en 28 días,continuous,mayor consumo,none,new_W_clinical,134,1,,,134,130,0.0541281270579844,0.0811486648743138,0.6670242466936469,0.5059388559898744,0.0818649212818657,0.6611882868807518,0.5096616883963717,0.0561159260876379,0.0528855093774194,0.0032304167102185,0.0034224718898249,0.1252450300839226,0.2335012841998914,1.2616780780641674,EEG34,O1,theta,W4,0.0410297253297877,5016,0.5016498350164984,1.0,0.936442424062965,0.973689025705312,0.9275621110455328,1.0,0.8090100080901,0.7384897873848979,0.999900009999,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG45,OC,MSPSS,MSPSS_total,ALCOHOL_UNITS_LOG1P,Unidades estándar de alcohol en 28 días,continuous,mayor consumo,none,new_W_clinical,134,1,,,134,130,0.0428006218390209,0.0773730556124732,0.5531721799044611,0.581095564288033,0.0691625830733032,0.6188407074625581,0.5371041877649622,0.0717934655249716,0.0696086139950213,0.0021848515299502,0.002353842004771,0.1645145169281702,0.2501157606062121,1.1942010103983645,EEG45,F8,delta,W4,0.0433332040268562,5762,0.5762423757624238,1.0,0.936442424062965,0.9782461183923752,0.9275621110455328,1.0,0.8232033939463197,0.9927007299270072,1.0,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG33,OC,MSPSS,MSPSS_total,ALCOHOL_UNITS_LOG1P,Unidades estándar de alcohol en 28 días,continuous,mayor consumo,none,new_W_clinical,134,1,,,134,130,0.0617145560818192,0.0770021182845068,0.8014656928501206,0.424324598638695,0.0839732521605224,0.7349311178736568,0.4637051552444152,0.0497146964627743,0.0450192106326247,0.0046954858301496,0.0049411327447365,0.0926034370114145,0.216032549175053,1.2323768803848012,EEG33,O1,delta,W4,0.044927486351673,4213,0.4213578642135786,1.0,0.936442424062965,0.973689025705312,0.9245162440277712,1.0,0.8090100080901,0.9883011698830118,0.999900009999,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG49,OC,MSPSS,MSPSS_total,ALCOHOL_UNITS_LOG1P,Unidades estándar de alcohol en 28 días,continuous,mayor consumo,none,new_W_clinical,134,1,,,134,130,0.0010334608154168,0.0732846961664678,0.0141020004104167,0.98877022367525,0.0787925910469002,0.01311621818353,0.9895551797004696,0.0453982874472763,0.0453968271532695,1.4602940068275672e-06,1.529741658353576e-06,0.1440438274270247,0.1461107490578583,1.3586223920928535,EEG49,T7,delta,W4,0.04614990038853,9902,0.9902009799020098,1.0,0.9957494258412956,0.9965523916828825,0.9965240958021508,1.0,0.9902009799020098,0.9902009799020098,1.0,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG25,OC,MSPSS,MSPSS_total,ALCOHOL_UNITS_LOG1P,Unidades estándar de alcohol en 28 días,continuous,mayor consumo,none,new_W_clinical,134,1,,,134,130,0.0125948063135464,0.0742694983008663,0.1695824881235201,0.865602101938061,0.0706161816200676,0.1783558105889895,0.8587211928722241,0.0289133612910574,0.0286985403413254,0.000214820949732,0.0002212170790627,0.0548136189617128,0.0800032315888057,1.325363850048408,EEG25,P3,delta,W4,0.0477275509808306,8648,0.8648135186481352,1.0,0.9827782335685468,0.996296827095842,0.9805750194211348,1.0,0.9501223790664411,0.9313376354672224,1.0,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG37,OC,MSPSS,MSPSS_total,ALCOHOL_UNITS_LOG1P,Unidades estándar de alcohol en 28 días,continuous,mayor consumo,none,new_W_clinical,134,1,,,134,130,0.0542958286980639,0.0806286304656131,0.6734063121811343,0.5018842859395883,0.1062994707885796,0.5107817404477363,0.6103702063162671,0.0610137281078706,0.0577382835218804,0.0032754445859901,0.0034882773945032,0.1301774749564098,0.2387691323525378,1.1153851663415872,EEG37,O2,delta,W4,0.0480635496317914,5012,0.5012498750124987,1.0,0.936442424062965,0.9891728224328948,0.9275621110455328,1.0,0.8090100080901,0.967903209679032,0.999900009999,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG29,OC,MSPSS,MSPSS_total,ALCOHOL_UNITS_LOG1P,Unidades estándar de alcohol en 28 días,continuous,mayor consumo,none,new_W_clinical,134,1,,,134,130,0.0487759739860777,0.0705879390225924,0.6909958650367521,0.4908001653861237,0.0708904089404055,0.6880475753367657,0.4926487104941353,0.0333566635107263,0.0298062919486892,0.003550371562037,0.003672886811522,0.0386169922847566,0.1361689402569122,1.4486265003506906,EEG29,P4,delta,W4,0.0493899977715527,4845,0.4845515448455154,1.0,0.936442424062965,0.973689025705312,0.9275621110455328,1.0,0.8090100080901,0.8344332233443322,0.999900009999,False,False,False,False,False
feature,TARGET__OA__MSPSS__EEG62,OA,MSPSS,MSPSS_total,ALCOHOL_UNITS_LOG1P,Unidades estándar de alcohol en 28 días,continuous,mayor consumo,none,new_W_clinical,134,1,,,134,130,0.0963409657998338,0.0760903894953183,1.2661384235096005,0.2077276918655164,0.0769267005422825,1.252373559774351,0.2126821180325886,0.0920531871770384,0.0808567606840466,0.0111964264929917,0.0123315885191338,0.1805047830528517,0.3731867146525195,1.4949951304410607,EEG62,P8,theta,W4,0.0492521790867692,2038,0.2038796120387961,1.0,0.9240553659651414,0.9094288929128624,0.9118465316098148,1.0,0.8090100080901,0.7135786421357865,0.9537046295370464,False,False,False,False,False
feature,TARGET__OA__MSPSS__EEG61,OA,MSPSS,MSPSS_total,ALCOHOL_UNITS_LOG1P,Unidades estándar de alcohol en 28 días,continuous,mayor consumo,none,new_W_clinical,134,1,,,134,130,0.028204881717047,0.0779265894143024,0.3619416931888773,0.7179832600228654,0.0685512503817847,0.4114422648743051,0.6814257884572699,0.0517927999134614,0.0508372857610879,0.0009555141523734,0.0010077060712956,0.1405566061450808,0.196966369579175,1.2821435129810677,EEG61,P8,delta,W4,0.0497293732930649,7094,0.7094290570942906,1.0,0.970198685312858,0.996296827095842,0.9612282533742786,1.0,0.8477723656205809,0.9777022297770224,1.0,False,False,False,False,False
feature,TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG43,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,ALCOHOL_UNITS_LOG1P,Unidades estándar de alcohol en 28 días,continuous,mayor consumo,none,new_W_clinical,134,1,,,134,130,0.078477869296165,0.101151762182025,0.7758428286690869,0.4392509458109531,0.0968280246312031,0.810487145586933,0.4191414776011078,0.0515661910776903,0.0471747083901432,0.004391482687547,0.0046302468830556,-0.2329651422460501,-0.0760094036537199,1.246233956458762,EEG43,F7,alpha,W3,0.0076950147436451,4376,0.4376562343765623,1.0,0.936442424062965,0.9594215456082604,0.9245162440277712,1.0,0.8090100080901,0.6255974402559744,0.999900009999,False,False,False,False,False
feature,TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG23,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,ALCOHOL_UNITS_LOG1P,Unidades estándar de alcohol en 28 días,continuous,mayor consumo,none,new_W_clinical,134,1,,,134,130,-0.0467648502963918,0.0981181779086317,-0.4766175982185442,0.6344346001281281,0.1166943164916923,-0.4007465976264673,0.6892645618334646,0.0555538804148999,0.0539035383023285,0.0016503421125714,0.0017474179610123,-0.1183875405823805,-0.2119172411751643,1.2515993388419486,EEG23,C4,alpha,W3 | W4,0.0084238953858853,6320,0.6320367963203679,1.0,0.9389095562149888,0.996296827095842,0.9369316232933668,1.0,0.8414947978886321,0.8465335284653354,1.0,False,False,False,False,False
feature,TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG45,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,ALCOHOL_UNITS_LOG1P,Unidades estándar de alcohol en 28 días,continuous,mayor consumo,none,new_W_clinical,134,1,,,134,130,0.0448996821261781,0.0948527722651093,0.473361832806378,0.6367489661821361,0.0873803656424477,0.5138417743627148,0.6082349141714876,0.0274386186603683,0.0257622862420513,0.0016763324183169,0.0017236263442909,-0.0137010936445044,0.0760982706078517,1.1748914244896171,EEG45,F8,delta,W2,0.0094547706672181,6395,0.6395360463953604,1.0,0.9403465745305808,0.9891728224328948,0.94049418587553,1.0,0.8414947978886321,0.8139549681395497,1.0,False,False,False,False,False
